index,TM_x,G_x,MP_x,PTS_x,YR_x,YRprior_x,G_y,MP_y,PTS_y,YR_y,YRprior_y,HomeCourt_x,HomeCourt_y
1,Atlanta Hawks 05-06,71.1,26.24,26.24,6.0,5.0,64.5375,26.579999999999995,26.579999999999995,5.0,4.0,0.0,0.0
2,Atlanta Hawks 06-07,54.3,24.879999999999992,24.879999999999992,7.0,6.0,75.24444444444444,29.67111111111111,29.67111111111111,6.0,5.0,0.0,0.0
3,Atlanta Hawks 07-08,65.1,23.559999999999995,23.559999999999995,8.0,7.0,64.18,30.189999999999998,30.189999999999998,7.0,6.0,0.0,0.0
4,Atlanta Hawks 08-09,70.0,25.919999999999995,25.919999999999995,9.0,8.0,64.94444444444444,23.973333333333333,23.973333333333333,8.0,7.0,0.0,0.0
5,Atlanta Hawks 09-10,71.6,23.84,23.84,10.0,9.0,67.13333333333333,30.046666666666663,30.046666666666663,9.0,8.0,1.0,0.0
6,Atlanta Hawks 10-11,64.6,25.05,25.05,11.0,10.0,77.1,25.33,25.33,10.0,9.0,0.0,1.0
7,Atlanta Hawks 11-12,52.1,21.1,21.1,12.0,11.0,69.3125,26.65625,26.65625,11.0,10.0,1.0,0.0
8,Atlanta Hawks 12-13,57.8,24.759999999999998,24.759999999999998,13.0,12.0,62.720000000000006,26.718,26.718,12.0,11.0,0.0,1.0
9,Atlanta Hawks 13-14,57.8,23.89,23.89,14.0,13.0,66.76666666666667,28.045555555555552,28.045555555555552,13.0,12.0,0.0,0.0
10,Atlanta Hawks 14-15,60.2,23.35,23.35,15.0,14.0,67.26923076923076,27.188461538461542,27.188461538461542,14.0,13.0,1.0,0.0
11,Atlanta Hawks 15-16,67.4,23.910000000000004,23.910000000000004,16.0,15.0,70.31666666666666,24.966666666666665,24.966666666666665,15.0,14.0,1.0,1.0
12,Atlanta Hawks 16-17,63.8,24.65,24.65,17.0,16.0,71.58000000000001,25.055000000000007,25.055000000000007,16.0,15.0,0.0,1.0
13,Atlanta Hawks 17-18,54.6,21.64,21.64,18.0,17.0,69.325,22.178749999999997,22.178749999999997,17.0,16.0,0.0,0.0
14,Atlanta Hawks 18-19,53.5,22.830000000000002,22.830000000000002,19.0,18.0,63.63333333333335,23.51666666666667,23.51666666666667,18.0,17.0,0.0,0.0
16,Boston Celtics 05-06,58.5,21.939999999999998,21.939999999999998,6.0,5.0,72.875,24.475,24.475,5.0,4.0,0.0,0.0
17,Boston Celtics 06-07,59.2,24.5,24.5,7.0,6.0,61.8,26.961999999999996,26.961999999999996,6.0,5.0,0.0,0.0
18,Boston Celtics 07-08,67.2,24.32,24.32,8.0,7.0,61.4,26.959999999999997,26.959999999999997,7.0,6.0,1.0,0.0
19,Boston Celtics 08-09,62.9,24.060000000000002,24.060000000000002,9.0,8.0,68.23333333333332,29.166666666666668,29.166666666666668,8.0,7.0,1.0,1.0
20,Boston Celtics 09-10,63.8,24.270000000000003,24.270000000000003,10.0,9.0,67.875,29.8225,29.8225,9.0,8.0,0.0,1.0
21,Boston Celtics 10-11,51.9,21.740000000000002,21.740000000000002,11.0,10.0,64.96666666666667,29.656666666666673,29.656666666666673,10.0,9.0,1.0,0.0
22,Boston Celtics 11-12,49.3,22.68,22.68,12.0,11.0,59.75,25.95,25.95,11.0,10.0,0.0,1.0
23,Boston Celtics 12-13,63.2,25.44,25.44,13.0,12.0,58.142857142857146,31.25,31.25,12.0,11.0,0.0,0.0
24,Boston Celtics 13-14,57.3,24.909999999999997,24.909999999999997,14.0,13.0,60.64444444444443,28.48222222222222,28.48222222222222,13.0,12.0,0.0,0.0
25,Boston Celtics 14-15,52.3,23.75,23.75,15.0,14.0,61.220000000000006,29.177999999999997,29.177999999999997,14.0,13.0,0.0,0.0
26,Boston Celtics 15-16,63.4,22.0,22.0,16.0,15.0,63.07272727272728,24.987272727272725,24.987272727272725,15.0,14.0,0.0,0.0
27,Boston Celtics 16-17,63.1,22.689999999999998,22.689999999999998,17.0,16.0,72.3,27.07818181818182,27.07818181818182,16.0,15.0,1.0,0.0
28,Boston Celtics 17-18,57.3,20.900000000000002,20.900000000000002,18.0,17.0,74.8,29.49,29.49,17.0,16.0,1.0,1.0
29,Boston Celtics 18-19,68.1,24.86,24.86,19.0,18.0,68.1909090909091,27.384545454545457,27.384545454545457,18.0,17.0,0.0,1.0
30,Brooklyn Nets 12-13,61.5,20.35,20.35,13.0,12.0,48.557142857142864,30.319999999999993,30.319999999999993,12.0,11.0,0.0,0.0
31,Brooklyn Nets 13-14,53.9,22.87,22.87,14.0,13.0,69.79230769230769,29.540769230769236,29.540769230769236,13.0,12.0,0.0,0.0
32,Brooklyn Nets 14-15,62.9,22.6,22.6,15.0,14.0,61.02222222222222,26.195555555555558,26.195555555555558,14.0,13.0,0.0,0.0
33,Brooklyn Nets 15-16,55.9,23.940000000000005,23.940000000000005,16.0,15.0,63.02727272727274,27.953636363636367,27.953636363636367,15.0,14.0,0.0,0.0
34,Brooklyn Nets 16-17,57.7,22.6,22.6,17.0,16.0,67.125,23.910000000000004,23.910000000000004,16.0,15.0,0.0,0.0
35,Brooklyn Nets 17-18,65.3,25.480000000000004,25.480000000000004,18.0,17.0,65.82000000000001,24.229999999999997,24.229999999999997,17.0,16.0,0.0,0.0
36,Brooklyn Nets 18-19,56.4,23.700000000000003,23.700000000000003,19.0,18.0,70.5,26.155,26.155,18.0,17.0,0.0,0.0
