PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,"FRONT CT
TOUCHES","TIME OF
POSS","AVG SEC PER
TOUCH","AVG DRIB PER
TOUCH","PTS PER
TOUCH","ELBOW
TOUCHES","POST
UPS","PAINT
TOUCHES","PTS PER
ELBOW TOUCH","PTS PER
POST TOUCH","PTS PER
PAINT TOUCH",Year
Shabazz Muhammad,MIL,43,25,18,9.7,5,10.6,8.4,0.4,2.19,1.33,0.468,0.5,1.1,1.5,1.045,0.66,0.922,18
Boban Marjanovic,LAC,39,18,21,8.7,6,13.3,8.8,0.4,1.65,0.36,0.453,1.1,3.2,4.5,0.244,0.635,0.943,18
Eric Gordon,HOU,68,55,13,31.2,17.9,39.9,25.1,1.9,2.93,2.43,0.449,0.3,0.1,0.7,0.579,0.5,0.844,18
CJ Miles,TOR,70,50,20,19.1,10,22.8,17.1,0.6,1.63,0.83,0.439,0.2,0,0.2,0.429,0,0.929,18
T.J. Warren,PHX,65,18,47,33,19.6,45.1,34.3,1.7,2.31,1.46,0.434,3.2,1.8,4.6,0.74,0.686,1.054,18
Antonio Blakeney,CHI,19,3,16,16.5,7.9,18.4,14.8,0.8,2.73,2.2,0.431,0.2,0,0.4,0,0,1.143,18
Kyle Korver,CLE,73,43,30,21.6,9.2,21.5,16.3,0.5,1.37,0.52,0.429,0.2,0,0.5,0.588,1,0.8,18
Ante Zizic,CLE,32,21,11,6.7,3.7,8.7,4.8,0.2,1.7,0.48,0.427,1,0.9,2.3,0.419,0.571,1.123,18
Evan Fournier,ORL,57,20,37,32.2,17.8,41.7,32.9,1.8,2.53,1.79,0.426,0.8,0.1,1.2,0.864,0.286,1.014,18
Gerald Green,HOU,41,33,8,22.7,12.1,29.1,16.4,1.3,2.63,1.77,0.417,0.3,0.1,0.5,0.545,2,0.636,18
Klay Thompson,GSW,72,54,18,34.3,19.8,47.6,36.4,1.7,2.13,1.38,0.417,1.6,1.1,2.1,0.858,0.709,0.807,18
Andrew Wiggins,MIN,82,47,35,36.3,17.7,42.5,31.7,2.1,2.9,1.95,0.416,0.5,2.5,2.3,0.636,0.665,1.122,18
Hassan Whiteside,MIA,54,30,24,25.3,14,33.7,22.8,1.1,1.89,0.57,0.414,4.5,4.4,9.1,0.415,0.513,0.964,18
Gary Harris,DEN,67,37,30,34.4,17.5,42.2,33.7,1.7,2.47,1.99,0.413,0.6,0.1,1.2,0.923,0,0.75,18
Montrezl Harrell,LAC,76,39,37,17,11,27.5,17.3,0.9,1.95,0.86,0.4,1.9,2.3,4.7,0.76,0.773,1.02,18
Bojan Bogdanovic,IND,80,47,33,30.8,14.3,36.1,29.3,1.3,2.09,1.18,0.395,0.9,0.3,0.9,0.87,0.462,1.133,18
Anthony Davis,NOP,73,44,29,36.2,27.9,71.1,43.5,2.3,1.93,0.85,0.393,4.4,6.3,9.9,0.689,0.63,1.163,18
Kevin Durant,GSW,67,48,19,34.1,26.4,67.9,39,3.9,3.46,2.43,0.389,1.7,4.3,1.7,0.637,0.529,1.183,18
Rodney Hood,CLE,60,29,31,26.9,14.7,37.8,27.8,1.9,3.03,2.26,0.389,0.5,0.2,0.7,0.844,0.917,0.568,18
Terrance Ferguson,OKC,59,37,22,12.6,3.2,8.2,6.7,0.2,1.41,0.72,0.389,0.3,0,0.5,0.933,0,0.621,18
Michael Kidd-Gilchrist,CHA,74,34,40,25,9.2,23.7,15.9,0.9,2.19,1.57,0.388,0.9,0.5,2.1,0.631,0.735,0.83,18
Paul George,OKC,77,47,30,36.6,21.9,56.5,37.5,2.8,3,2.3,0.388,0.9,1,1.7,0.493,0.392,0.71,18
LaMarcus Aldridge,SAS,75,45,30,33.4,23.1,61,45.2,2.2,2.12,0.91,0.379,4,13.9,8.7,0.515,0.577,0.957,18
JJ Redick,PHI,69,45,24,30.2,17,45.2,39.3,1.4,1.83,1.04,0.377,0.6,0,0.7,0.359,1,0.7,18
Wayne Ellington,MIA,76,41,35,26.6,11.3,29.9,23.9,0.8,1.59,0.77,0.376,0.3,0,0.4,0.583,3,0.677,18
Nick Young,GSW,79,55,24,17.5,7.3,19.6,14.5,0.7,2.03,1.23,0.373,0.3,0.1,0.4,0.87,0.333,1.065,18
Reggie Bullock,DET,62,32,30,27.9,11.3,30.2,25,0.8,1.66,0.66,0.372,0.6,0,1.7,0.65,0,0.858,18
Willie Reed,DET,42,20,22,10.2,4.6,12.5,7.2,0.4,1.7,0.59,0.372,1.1,1,2.9,0.6,0.442,1.132,18
Devin Booker,PHX,54,16,38,34.5,24.9,67.2,38,4.8,4.24,3.57,0.371,1.1,1.9,1.4,0.6,0.495,0.795,18
Kristaps Porzingis,NYK,48,22,26,32.4,22.7,61,40.2,1.7,1.64,0.55,0.371,5.4,8,4.3,0.669,0.687,0.83,18
Jaylen Brown,BOS,67,44,23,30.6,14.3,38.9,26.5,1.5,2.39,1.56,0.369,0.5,1.2,2.6,0.625,0.549,0.791,18
James Harden,HOU,71,59,12,35.4,30.5,83.2,25.6,8.8,6.34,5.86,0.367,0.6,1.4,1,0.25,0.495,0.618,18
Troy Daniels,PHX,79,20,59,20.5,8.9,24.4,18.6,0.7,1.73,1.04,0.364,0.4,0,0.2,0.645,1,0.588,18
DeMar DeRozan,TOR,80,57,23,33.9,23,63.3,38.2,4.9,4.68,3.99,0.363,1.4,1.2,1.1,0.618,0.452,0.857,18
CJ McCollum,POR,81,48,33,36.1,21.4,59,31.1,4.4,4.53,4.14,0.362,0.5,0,0.8,0.537,0,0.738,18
Zach LaVine,CHI,24,9,15,27.3,16.7,46.1,28.7,3.3,4.34,3.73,0.362,0.3,0.2,0.8,1,0.5,1,18
Victor Oladipo,IND,75,48,27,34,23.1,64.3,36,4.4,4.13,3.6,0.36,1.1,0,1.1,0.585,0,0.894,18
Jabari Bird,BOS,13,8,5,8.8,3,8.4,5.8,0.3,2.19,1.43,0.358,0.2,0,0.8,0.667,0,1.091,18
Jeremy Lamb,CHA,80,36,44,24.6,12.9,36,26.5,2,3.38,2.42,0.358,0.7,0.1,1,0.943,0.5,0.91,18
Cody Zeller,CHA,33,14,19,19,7.1,19.8,14.6,0.5,1.51,0.63,0.356,3.1,0.2,4.5,0.406,0.4,0.799,18
Avery Bradley,LAC,46,22,24,31.2,14.3,40.3,34.8,1.4,2.08,1.33,0.354,1.2,0,1.4,0.434,2,0.848,18
JaVale McGee,GSW,64,44,20,9.5,4.8,13.6,8.3,0.3,1.29,0.37,0.354,1.3,0.7,2.7,0.663,0.5,1.017,18
Sean Kilpatrick,CHI,52,22,30,12.3,6.3,17.9,11.8,0.9,3.09,2.53,0.354,0.3,0,0.3,0.625,0,0.692,18
Justin Holiday,CHI,72,24,48,31.5,12.2,34.4,26.1,1.2,2.13,1.55,0.353,0.5,0,1,0.568,0,0.873,18
Jimmy Butler,MIN,59,37,22,36.7,22.2,63.1,40.3,4.5,4.25,3.1,0.351,1.1,2.6,3,0.667,0.422,0.989,18
Buddy Hield,SAC,80,27,53,25.3,13.5,38.6,27.2,1.8,2.74,2.09,0.35,0.5,0,0.8,0.561,1,0.828,18
Jamal Crawford,MIN,80,45,35,20.7,10.3,29.4,17.9,2,4.02,3.75,0.35,0.3,0,0.2,0.652,2,0.5,18
Josh Jackson,PHX,77,19,58,25.4,13.1,37.5,25.3,1.6,2.59,1.89,0.35,0.7,0.2,2.2,0.547,0.438,0.964,18
Brook Lopez,LAL,74,34,40,23.4,13,37.2,26.1,1.1,1.74,0.54,0.349,3,5.5,3.1,0.416,0.495,0.948,18
Steven Adams,OKC,74,43,31,32.9,13.9,40.1,26,0.9,1.41,0.34,0.347,5,2,13,0.616,0.682,0.813,18
Dwight Howard,CHA,81,35,46,30.4,16.6,48.1,27,1.6,2.01,0.91,0.346,2.6,8.2,9.3,0.404,0.562,0.987,18
Lou Williams,LAC,79,42,37,32.8,22.6,65.5,34.6,4.3,3.98,3.12,0.344,0.4,0,0.8,0.941,2,0.871,18
