Player,Team,Season,Season Type,Games,Distance Per Game,Distance Per 36 min,Avg. Speed,Touches Per 36 min,Pass Per 36 min,Secondary Assists Per 36 min,FT Assists Per 36 min,Off. Reb Success Rate,Def. Reb Success Rate,Contested FG %,Uncontested FG %,Uncontested FG Usage,FGs Defended at Rim %
Kris Humphries,"Wizards, Suns, Hawks",2015-2016,REG,53,1.227,2.583,4.304,67.761,50.606,0.468,0,0.781,1.013,0.426,0.398,0.656,0.594
Ryan Hollins,"Wizards, Grizzlies",2015-2016,REG,37,0.659,2.413,4.022,42.94,33.287,0,0,1.424,1.5,0.455,0.75,0.421,0.429
John Wall,Wizards,2015-2016,REG,77,2.376,2.394,3.991,99.534,71.91,1.917,0.86,0.824,1.541,0.444,0.423,0.523,0.642
Garrett Temple,Wizards,2015-2016,REG,80,1.77,2.604,4.339,45.79,31.457,0.679,0.075,0.692,1.06,0.47,0.377,0.63,0.507
Alan Anderson,Wizards,2015-2016,REG,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcin Gortat,Wizards,2015-2016,REG,75,2.218,2.512,4.187,57.731,41.357,0.583,0,0.944,1.23,0.507,0.591,0.274,0.489
Jared Dudley,Wizards,2015-2016,REG,81,2.04,2.546,4.243,62.882,51.715,0.811,0.343,0.675,0.859,0.458,0.483,0.815,0.513
Bradley Beal,Wizards,2015-2016,REG,55,2.476,2.619,4.365,63.806,41.447,0.907,0.302,0.837,1.203,0.417,0.475,0.545,0.558
Ramon Sessions,Wizards,2015-2016,REG,82,1.498,2.536,4.227,75.306,54.952,0.619,0.661,0.634,1.435,0.487,0.454,0.369,0.705
Otto Porter,Wizards,2015-2016,REG,75,2.363,2.655,4.425,49.427,33.734,0.595,0.198,0.719,1.101,0.488,0.44,0.643,0.546
Nene,Wizards,2015-2016,REG,57,1.178,2.403,4.005,62.414,42.731,0.204,0.714,1.529,1.643,0.64,0.449,0.395,0.454
Gary Neal,Wizards,2015-2016,REG,40,1.48,2.501,4.168,52.728,34.708,0.512,0.256,0.407,0.632,0.446,0.475,0.5,0.564
