TM_x,YR,ConfFinals
Golden State Warriors*,18,1
Houston Rockets*,18,1
New Orleans Pelicans*,18,0
Toronto Raptors*,18,0
Cleveland Cavaliers*,18,1
Denver Nuggets,18,0
Philadelphia 76ers*,18,0
Minnesota Timberwolves*,18,0
Los Angeles Clippers,18,0
Charlotte Hornets,18,0
Los Angeles Lakers,18,0
Oklahoma City Thunder*,18,0
Washington Wizards*,18,0
Brooklyn Nets,18,0
Milwaukee Bucks*,18,0
Portland Trail Blazers*,18,0
Indiana Pacers*,18,0
New York Knicks,18,0
Utah Jazz*,18,0
Boston Celtics*,18,1
Phoenix Suns,18,0
Detroit Pistons,18,0
Miami Heat*,18,0
Orlando Magic,18,0
Atlanta Hawks,18,0
Chicago Bulls,18,0
San Antonio Spurs*,18,0
Dallas Mavericks,18,0
Memphis Grizzlies,18,0
Sacramento Kings,18,0
Golden State Warriors*,17,1
Houston Rockets*,17,0
Denver Nuggets,17,0
Cleveland Cavaliers*,17,1
Washington Wizards*,17,0
Los Angeles Clippers*,17,0
Boston Celtics*,17,1
Portland Trail Blazers*,17,0
Phoenix Suns,17,0
Toronto Raptors*,17,0
Oklahoma City Thunder*,17,0
Brooklyn Nets,17,0
Minnesota Timberwolves,17,0
San Antonio Spurs*,17,1
Indiana Pacers*,17,0
Charlotte Hornets,17,0
Los Angeles Lakers,17,0
New Orleans Pelicans,17,0
New York Knicks,17,0
Milwaukee Bucks*,17,0
Miami Heat,17,0
Atlanta Hawks*,17,0
Chicago Bulls*,17,0
Sacramento Kings,17,0
Philadelphia 76ers,17,0
Detroit Pistons,17,0
Orlando Magic,17,0
Utah Jazz*,17,0
Memphis Grizzlies*,17,0
Dallas Mavericks,17,0
Golden State Warriors*,16,1
Oklahoma City Thunder*,16,1
Sacramento Kings,16,0
Houston Rockets*,16,0
Boston Celtics*,16,0
Portland Trail Blazers*,16,0
Los Angeles Clippers*,16,0
Cleveland Cavaliers*,16,1
Washington Wizards,16,0
San Antonio Spurs*,16,0
Charlotte Hornets*,16,0
Atlanta Hawks*,16,0
New Orleans Pelicans,16,0
Toronto Raptors*,16,1
Minnesota Timberwolves,16,0
Dallas Mavericks*,16,0
Indiana Pacers*,16,0
Orlando Magic,16,0
Detroit Pistons*,16,0
Denver Nuggets,16,0
Chicago Bulls,16,0
Phoenix Suns,16,0
Miami Heat*,16,0
Memphis Grizzlies*,16,0
Milwaukee Bucks,16,0
Brooklyn Nets,16,0
New York Knicks,16,0
Utah Jazz,16,0
Philadelphia 76ers,16,0
Los Angeles Lakers,16,0
Golden State Warriors*,15,1
Los Angeles Clippers*,15,0
Dallas Mavericks*,15,0
Toronto Raptors*,15,0
Oklahoma City Thunder,15,0
Houston Rockets*,15,1
San Antonio Spurs*,15,0
Cleveland Cavaliers*,15,1
Portland Trail Blazers*,15,0
Atlanta Hawks*,15,1
Phoenix Suns,15,0
Denver Nuggets,15,0
Boston Celtics*,15,0
Sacramento Kings,15,0
Chicago Bulls*,15,0
New Orleans Pelicans*,15,0
Washington Wizards*,15,0
Detroit Pistons,15,0
Los Angeles Lakers,15,0
Memphis Grizzlies*,15,0
Brooklyn Nets*,15,0
Milwaukee Bucks*,15,0
Minnesota Timberwolves,15,0
Indiana Pacers,15,0
Orlando Magic,15,0
Utah Jazz,15,0
Miami Heat,15,0
Charlotte Hornets,15,0
Philadelphia 76ers,15,0
New York Knicks,15,0
Los Angeles Clippers*,14,0
Houston Rockets*,14,0
Minnesota Timberwolves,14,0
Portland Trail Blazers*,14,0
Oklahoma City Thunder*,14,1
San Antonio Spurs*,14,1
Phoenix Suns,14,0
Dallas Mavericks*,14,0
Denver Nuggets,14,0
Golden State Warriors*,14,0
Los Angeles Lakers,14,0
Miami Heat*,14,1
Toronto Raptors*,14,0
Detroit Pistons,14,0
Atlanta Hawks*,14,0
Washington Wizards*,14,0
Sacramento Kings,14,0
New Orleans Pelicans,14,0
Philadelphia 76ers,14,0
New York Knicks,14,0
Brooklyn Nets*,14,0
Cleveland Cavaliers,14,0
Charlotte Bobcats*,14,0
Indiana Pacers*,14,1
Orlando Magic,14,0
Boston Celtics,14,0
Memphis Grizzlies*,14,0
Milwaukee Bucks,14,0
Utah Jazz,14,0
Chicago Bulls*,14,0
Denver Nuggets*,13,0
Houston Rockets*,13,0
Oklahoma City Thunder*,13,0
San Antonio Spurs*,13,1
Miami Heat*,13,1
Los Angeles Lakers*,13,0
Golden State Warriors*,13,0
Dallas Mavericks,13,0
Los Angeles Clippers*,13,0
Sacramento Kings,13,0
New York Knicks*,13,0
Milwaukee Bucks*,13,0
Utah Jazz,13,0
Atlanta Hawks*,13,0
Portland Trail Blazers,13,0
Toronto Raptors,13,0
Brooklyn Nets*,13,0
Cleveland Cavaliers,13,0
Minnesota Timberwolves,13,0
Boston Celtics*,13,0
Phoenix Suns,13,0
Detroit Pistons,13,0
Orlando Magic,13,0
New Orleans Hornets,13,0
Indiana Pacers*,13,1
Charlotte Bobcats,13,0
Memphis Grizzlies*,13,1
Washington Wizards,13,0
Chicago Bulls*,13,0
Philadelphia 76ers,13,0
Denver Nuggets*,12,0
San Antonio Spurs*,12,1
Oklahoma City Thunder*,12,1
Utah Jazz*,12,0
Milwaukee Bucks,12,0
Sacramento Kings,12,0
Miami Heat*,12,1
Phoenix Suns,12,0
Houston Rockets,12,0
Minnesota Timberwolves,12,0
New York Knicks*,12,0
Golden State Warriors,12,0
Indiana Pacers*,12,0
Los Angeles Clippers*,12,0
Los Angeles Lakers*,12,0
Portland Trail Blazers,12,0
Atlanta Hawks*,12,0
Chicago Bulls*,12,0
Dallas Mavericks*,12,0
Memphis Grizzlies*,12,0
Orlando Magic*,12,0
Washington Wizards,12,0
Philadelphia 76ers*,12,0
New Jersey Nets,12,0
Cleveland Cavaliers,12,0
Boston Celtics*,12,1
Detroit Pistons,12,0
Toronto Raptors,12,0
New Orleans Hornets,12,0
Charlotte Bobcats,12,0
Denver Nuggets*,11,0
New York Knicks*,11,0
Houston Rockets,11,0
Phoenix Suns,11,0
Oklahoma City Thunder*,11,1
San Antonio Spurs*,11,0
Golden State Warriors,11,0
Miami Heat*,11,1
Los Angeles Lakers*,11,0
Minnesota Timberwolves,11,0
Dallas Mavericks*,11,1
Memphis Grizzlies*,11,0
Indiana Pacers*,11,0
Utah Jazz,11,0
Sacramento Kings,11,0
Orlando Magic*,11,0
Toronto Raptors,11,0
Philadelphia 76ers*,11,0
Los Angeles Clippers,11,0
Chicago Bulls*,11,1
Washington Wizards,11,0
Detroit Pistons,11,0
Boston Celtics*,11,0
Portland Trail Blazers*,11,0
Cleveland Cavaliers,11,0
Atlanta Hawks*,11,0
New Orleans Hornets*,11,0
New Jersey Nets,11,0
Charlotte Bobcats,11,0
Milwaukee Bucks,11,0
Phoenix Suns*,10,1
Golden State Warriors,10,0
Denver Nuggets*,10,0
Utah Jazz*,10,0
Toronto Raptors,10,0
Orlando Magic*,10,1
Memphis Grizzlies,10,0
Houston Rockets,10,0
Cleveland Cavaliers*,10,0
New York Knicks,10,0
Dallas Mavericks*,10,0
Los Angeles Lakers*,10,1
Atlanta Hawks*,10,0
Oklahoma City Thunder*,10,0
San Antonio Spurs*,10,0
Indiana Pacers,10,0
New Orleans Hornets,10,0
Sacramento Kings,10,0
Boston Celtics*,10,1
Minnesota Timberwolves,10,0
Portland Trail Blazers*,10,0
Philadelphia 76ers,10,0
Milwaukee Bucks*,10,0
Chicago Bulls*,10,0
Miami Heat*,10,0
Washington Wizards,10,0
Los Angeles Clippers,10,0
Charlotte Bobcats*,10,0
Detroit Pistons,10,0
New Jersey Nets,10,0
Phoenix Suns,9,0
Golden State Warriors,9,0
Los Angeles Lakers*,9,1
New York Knicks,9,0
Indiana Pacers,9,0
Denver Nuggets*,9,1
Utah Jazz*,9,0
Chicago Bulls*,9,0
Dallas Mavericks*,9,0
Orlando Magic*,9,1
Boston Celtics*,9,0
Sacramento Kings,9,0
Cleveland Cavaliers*,9,1
Portland Trail Blazers*,9,0
Milwaukee Bucks,9,0
Toronto Raptors,9,0
Houston Rockets*,9,0
Miami Heat*,9,0
Atlanta Hawks*,9,0
New Jersey Nets,9,0
Minnesota Timberwolves,9,0
Philadelphia 76ers*,9,0
San Antonio Spurs*,9,0
Oklahoma City Thunder,9,0
Washington Wizards,9,0
New Orleans Hornets*,9,0
Los Angeles Clippers,9,0
Detroit Pistons*,9,0
Memphis Grizzlies,9,0
Charlotte Bobcats,9,0
Golden State Warriors,8,0
Denver Nuggets*,8,0
Phoenix Suns*,8,0
Los Angeles Lakers*,8,1
Utah Jazz*,8,0
Orlando Magic*,8,0
Indiana Pacers,8,0
Sacramento Kings,8,0
New Orleans Hornets*,8,0
Memphis Grizzlies,8,0
Boston Celtics*,8,1
Dallas Mavericks*,8,0
Toronto Raptors*,8,0
Washington Wizards*,8,0
Atlanta Hawks*,8,0
Seattle SuperSonics,8,0
Detroit Pistons*,8,1
Chicago Bulls,8,0
Charlotte Bobcats,8,0
Milwaukee Bucks,8,0
New York Knicks,8,0
Houston Rockets*,8,0
Philadelphia 76ers*,8,0
Cleveland Cavaliers*,8,0
New Jersey Nets,8,0
Minnesota Timberwolves,8,0
San Antonio Spurs*,8,1
Portland Trail Blazers,8,0
Los Angeles Clippers,8,0
Miami Heat,8,0
Phoenix Suns*,7,0
Golden State Warriors*,7,0
Denver Nuggets*,7,0
Washington Wizards*,7,0
Los Angeles Lakers*,7,0
Memphis Grizzlies,7,0
Utah Jazz*,7,1
Sacramento Kings,7,0
Dallas Mavericks*,7,0
Milwaukee Bucks,7,0
Toronto Raptors*,7,0
Seattle SuperSonics,7,0
Chicago Bulls*,7,0
San Antonio Spurs*,7,1
New Jersey Nets*,7,0
New York Knicks,7,0
Houston Rockets*,7,0
Charlotte Bobcats,7,0
Cleveland Cavaliers*,7,1
Minnesota Timberwolves,7,0
Detroit Pistons*,7,1
Boston Celtics,7,0
Los Angeles Clippers,7,0
Indiana Pacers,7,0
New Orleans/Oklahoma City Hornets,7,0
Philadelphia 76ers,7,0
Orlando Magic*,7,0
Miami Heat*,7,0
Portland Trail Blazers,7,0
Atlanta Hawks,7,0
