TM_x,YR,HomeCourt
Golden State Warriors*,18-19,1
Houston Rockets*,18-19,1
New Orleans Pelicans*,18-19,0
Toronto Raptors*,18-19,1
Cleveland Cavaliers*,18-19,0
Denver Nuggets,18-19,1
Philadelphia 76ers*,18-19,1
Minnesota Timberwolves*,18-19,0
Los Angeles Clippers,18-19,0
Charlotte Hornets,18-19,0
Los Angeles Lakers,18-19,0
Oklahoma City Thunder*,18-19,0
Washington Wizards*,18-19,0
Brooklyn Nets,18-19,0
Milwaukee Bucks*,18-19,1
Portland Trail Blazers*,18-19,1
Indiana Pacers*,18-19,0
New York Knicks,18-19,0
Utah Jazz*,18-19,0
Boston Celtics*,18-19,1
Phoenix Suns,18-19,0
Detroit Pistons,18-19,0
Miami Heat*,18-19,0
Orlando Magic,18-19,0
Atlanta Hawks,18-19,0
Chicago Bulls,18-19,0
San Antonio Spurs*,18-19,0
Dallas Mavericks,18-19,0
Memphis Grizzlies,18-19,0
Sacramento Kings,18-19,0
Golden State Warriors*,17-18,1
Houston Rockets*,17-18,1
New Orleans Pelicans*,17-18,0
Toronto Raptors*,17-18,1
Cleveland Cavaliers*,17-18,1
Denver Nuggets,17-18,0
Philadelphia 76ers*,17-18,1
Minnesota Timberwolves*,17-18,0
Los Angeles Clippers,17-18,0
Charlotte Hornets,17-18,0
Los Angeles Lakers,17-18,0
Oklahoma City Thunder*,17-18,1
Washington Wizards*,17-18,0
Brooklyn Nets,17-18,0
Milwaukee Bucks*,17-18,0
Portland Trail Blazers*,17-18,1
Indiana Pacers*,17-18,0
New York Knicks,17-18,0
Utah Jazz*,17-18,0
Boston Celtics*,17-18,1
Phoenix Suns,17-18,0
Detroit Pistons,17-18,0
Miami Heat*,17-18,0
Orlando Magic,17-18,0
Atlanta Hawks,17-18,0
Chicago Bulls,17-18,0
San Antonio Spurs*,17-18,0
Dallas Mavericks,17-18,0
Memphis Grizzlies,17-18,0
Sacramento Kings,17-18,0
Golden State Warriors*,16-17,1
Houston Rockets*,16-17,1
Denver Nuggets,16-17,0
Cleveland Cavaliers*,16-17,1
Washington Wizards*,16-17,1
Los Angeles Clippers*,16-17,1
Boston Celtics*,16-17,1
Portland Trail Blazers*,16-17,0
Phoenix Suns,16-17,0
Toronto Raptors*,16-17,1
Oklahoma City Thunder*,16-17,0
Brooklyn Nets,16-17,0
Minnesota Timberwolves,16-17,0
San Antonio Spurs*,16-17,1
Indiana Pacers*,16-17,0
Charlotte Hornets,16-17,0
Los Angeles Lakers,16-17,0
New Orleans Pelicans,16-17,0
New York Knicks,16-17,0
Milwaukee Bucks*,16-17,0
Miami Heat,16-17,0
Atlanta Hawks*,16-17,0
Chicago Bulls*,16-17,0
Sacramento Kings,16-17,0
Philadelphia 76ers,16-17,0
Detroit Pistons,16-17,0
Orlando Magic,16-17,0
Utah Jazz*,16-17,0
Memphis Grizzlies*,16-17,0
Dallas Mavericks,16-17,0
Golden State Warriors*,15-16,1
Oklahoma City Thunder*,15-16,1
Sacramento Kings,15-16,0
Houston Rockets*,15-16,0
Boston Celtics*,15-16,0
Portland Trail Blazers*,15-16,0
Los Angeles Clippers*,15-16,1
Cleveland Cavaliers*,15-16,1
Washington Wizards,15-16,0
San Antonio Spurs*,15-16,1
Charlotte Hornets*,15-16,0
Atlanta Hawks*,15-16,1
New Orleans Pelicans,15-16,0
Toronto Raptors*,15-16,1
Minnesota Timberwolves,15-16,0
Dallas Mavericks*,15-16,0
Indiana Pacers*,15-16,0
Orlando Magic,15-16,0
Detroit Pistons*,15-16,0
Denver Nuggets,15-16,0
Chicago Bulls,15-16,0
Phoenix Suns,15-16,0
Miami Heat*,15-16,1
Memphis Grizzlies*,15-16,0
Milwaukee Bucks,15-16,0
Brooklyn Nets,15-16,0
New York Knicks,15-16,0
Utah Jazz,15-16,0
Philadelphia 76ers,15-16,0
Los Angeles Lakers,15-16,0
Golden State Warriors*,14-15,1
Los Angeles Clippers*,14-15,1
Dallas Mavericks*,14-15,0
Toronto Raptors*,14-15,1
Oklahoma City Thunder,14-15,0
Houston Rockets*,14-15,1
San Antonio Spurs*,14-15,0
Cleveland Cavaliers*,14-15,1
Portland Trail Blazers*,14-15,1
Atlanta Hawks*,14-15,1
Phoenix Suns,14-15,0
Denver Nuggets,14-15,0
Boston Celtics*,14-15,0
Sacramento Kings,14-15,0
Chicago Bulls*,14-15,1
New Orleans Pelicans*,14-15,0
Washington Wizards*,14-15,0
Detroit Pistons,14-15,0
Los Angeles Lakers,14-15,0
Memphis Grizzlies*,14-15,0
Brooklyn Nets*,14-15,0
Milwaukee Bucks*,14-15,0
Minnesota Timberwolves,14-15,0
Indiana Pacers,14-15,0
Orlando Magic,14-15,0
Utah Jazz,14-15,0
Miami Heat,14-15,0
Charlotte Hornets,14-15,0
Philadelphia 76ers,14-15,0
New York Knicks,14-15,0
Los Angeles Clippers*,13-14,1
Houston Rockets*,13-14,1
Minnesota Timberwolves,13-14,0
Portland Trail Blazers*,13-14,0
Oklahoma City Thunder*,13-14,1
San Antonio Spurs*,13-14,1
Phoenix Suns,13-14,0
Dallas Mavericks*,13-14,0
Denver Nuggets,13-14,0
Golden State Warriors*,13-14,0
Los Angeles Lakers,13-14,0
Miami Heat*,13-14,1
Toronto Raptors*,13-14,1
Detroit Pistons,13-14,0
Atlanta Hawks*,13-14,0
Washington Wizards*,13-14,0
Sacramento Kings,13-14,0
New Orleans Pelicans,13-14,0
Philadelphia 76ers,13-14,0
New York Knicks,13-14,0
Brooklyn Nets*,13-14,0
Cleveland Cavaliers,13-14,0
Charlotte Bobcats*,13-14,0
Indiana Pacers*,13-14,1
Orlando Magic,13-14,0
Boston Celtics,13-14,0
Memphis Grizzlies*,13-14,0
Milwaukee Bucks,13-14,0
Utah Jazz,13-14,0
Chicago Bulls*,13-14,1
Denver Nuggets*,12-13,1
Houston Rockets*,12-13,0
Oklahoma City Thunder*,12-13,1
San Antonio Spurs*,12-13,1
